id,label,volume,number,date,pages
nla.obj-686993834,,79,4100,1958-09-10,60
nla.obj-691846668,,79,4101,1958-09-17,60
nla.obj-686993850,,79,4102,1958-09-24,60
nla.obj-686993875,,79,4103,1958-10-01,60
nla.obj-686993902,,79,4104,1958-10-08,60
nla.obj-686993928,,79,4105,1958-10-15,60
nla.obj-686993944,,79,4106,1958-10-22,60
nla.obj-686993966,,79,4107,1958-10-29,60
nla.obj-686994019,,79,4108,1958-11-05,60
nla.obj-686994035,,79,4109,1958-11-12,60
nla.obj-686994056,,79,4110,1958-11-19,60
nla.obj-686994244,,79,4111,1958-11-26,60
nla.obj-686994348,,79,4112,1958-12-03,60
nla.obj-686994361,,79,4113,1958-12-10,68
nla.obj-686994385,,79,4114,1958-12-17,60
nla.obj-686994407,,79,4115,1958-12-24,60
nla.obj-686994429,,79,4116,1958-12-31,60
nla.obj-672856964,,79,4117,1959-01-07,60
nla.obj-672857099,,80,4118,1959-01-14,60
nla.obj-672857116,,80,4119,1959-01-21,60
nla.obj-672857150,,80,4120,1959-01-28,60
nla.obj-672857280,,80,4121,1959-02-04,60
nla.obj-672857329,,80,4122,1959-02-11,60
nla.obj-672857341,,80,4123,1959-02-18,60
nla.obj-672857479,,80,4124,1959-02-25,60
nla.obj-672857517,,80,4125,1959-03-04,60
nla.obj-672857530,,80,4126,1959-03-11,60
nla.obj-672857660,,80,4127,1959-03-18,68
nla.obj-672857708,,80,4128,1959-03-25,60
nla.obj-672857743,,80,4129,1959-04-01,60
nla.obj-672857853,,80,4130,1959-04-08,60
nla.obj-672857890,,80,4131,1959-04-15,60
nla.obj-672857968,,80,4132,1959-04-22,60
nla.obj-672858046,,80,4133,1959-04-29,60
nla.obj-672858080,,80,4134,1959-05-06,60
nla.obj-672858153,,80,4135,1959-05-13,60
nla.obj-672858233,,80,4136,1959-05-20,60
nla.obj-672858279,,80,4137,1959-05-27,84
nla.obj-672858594,,80,4138,1959-06-03,60
nla.obj-672858636,,80,4139,1959-06-10,60
nla.obj-672858768,,80,4140,1959-06-17,60
