title,contributor,issued,format,fulltext_url,trove_url,trove_id,fulltext_url_type
Report on operations ... including Rural Adjustment Scheme report ... / Rural Adjustment Scheme Advisory Council,Australia. Rural Adjustment Scheme Advisory Council,1993,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2398090902,https://trove.nla.gov.au/work/11309585,nla.obj-2398090902,digitised
The Yellow book : an illustrated quarterly,,1894-1897,"Microform | Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-58441779,https://trove.nla.gov.au/work/11315353,nla.obj-58441779,other
Sustainablility report (Online),Landcom (Firm),2002-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-2884427580,https://trove.nla.gov.au/work/11358345,nla.obj-2884427580,edeposit
Commonwealth railways financial and statistical bulletin,Commonwealth Railways (Australia). Commissioner,1900-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-837149848,https://trove.nla.gov.au/work/11358904,nla.obj-837149848,digitised
Australian foreign affairs record,Australia. Department of Foreign Affairs,1973-1988,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-850515166,https://trove.nla.gov.au/work/11359965,nla.obj-850515166,digitised
Habitat Australia,Australian Conservation Foundation,1900-2021,"Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-343094439,https://trove.nla.gov.au/work/11362527,nla.obj-343094439,edeposit
Report / Australian Research Grants Committee,Australian Research Grants Committee,1900-2021,"Periodical | Periodical/Journal, magazine, other | Government publication",https://nla.gov.au/nla.obj-1169628625,https://trove.nla.gov.au/work/11363345,nla.obj-1169628625,digitised
Post office prospects and capital programme,Australia. Postmaster-General's Department,1969-1975,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1201911311,https://trove.nla.gov.au/work/11363719,nla.obj-1201911311,digitised
Australia's external aid,Australia,1974,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1289348688,https://trove.nla.gov.au/work/11364972,nla.obj-1289348688,digitised
Revue francaise d'histoire du livre,Société des bibliophiles de Guyenne,1971-2021,"Periodical | Periodical/Journal, magazine, other",http://nla.gov.au/nla.obj-50585420,https://trove.nla.gov.au/work/11366316,nla.obj-50585420,digitised
"Book Bounty Act, return",Australia. Parliament,1970-1981,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-837294603,https://trove.nla.gov.au/work/11367903,nla.obj-837294603,digitised
Reports to the Senate on departmental estimates,Australia. Parliament. Senate. Estimates Committees,1900-2021,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-1282137513,https://trove.nla.gov.au/work/11367906,nla.obj-1282137513,digitised
Civil works programme ... : under the control of the Department of Works / circulated by ... Minister for Works,Australia. Department of Works,1950-1974,"Government publication | Periodical | Periodical/Journal, magazine, other",https://nla.gov.au/nla.obj-753111464,https://trove.nla.gov.au/work/11368001,nla.obj-753111464,digitised
